Oyuncu_ID,Date,Yaş_t1,MP_t1,DK_t1,GLS_t1,AST_t1,ASR_t1,TOS_t1,SOT_t1,BCM_t1,KEYP_t1,BCC_t1,SDR_t1,APS_t1,APS%_t1,ALB_t1,LBA%_t1,ACR_t1,CA%_t1,CLS_t1,YC_t1,RC_t1,ELTG_t1,DRP_t1,TACK_t1,INT_t1,BLS_t1,ADW_t1,xG_t1,xA_t1,GI_t1,XGI_t1,Lig_Donusturulmus_Bundesliga_t1,Lig_Donusturulmus_CONMEBOL Libertadores_t1,Lig_Donusturulmus_CONMEBOL Sudamericana_t1,Lig_Donusturulmus_Championship_t1,Lig_Donusturulmus_Eredivisie_t1,Lig_Donusturulmus_FIFA Club World Cup_t1,Lig_Donusturulmus_LaLiga_t1,Lig_Donusturulmus_Ligue 1_t1,Lig_Donusturulmus_Other_Domestic_t1,Lig_Donusturulmus_Other_International_t1,Lig_Donusturulmus_Premier League_t1,Lig_Donusturulmus_Serie A_t1,Lig_Donusturulmus_UEFA Champions League_t1,Lig_Donusturulmus_UEFA Conference League_t1,Lig_Donusturulmus_UEFA Europa League_t1,Lig_Donusturulmus_UEFA Super Cup_t1,Kategori_Domestic leagues_t1,Kategori_International competitions_t1,Mevki_D_t1,Mevki_F_t1,Mevki_OS_t1,Bonservis_t1,Sezon_t1,Yaş_t2,MP_t2,DK_t2,GLS_t2,AST_t2,ASR_t2,TOS_t2,SOT_t2,BCM_t2,KEYP_t2,BCC_t2,SDR_t2,APS_t2,APS%_t2,ALB_t2,LBA%_t2,ACR_t2,CA%_t2,CLS_t2,YC_t2,RC_t2,ELTG_t2,DRP_t2,TACK_t2,INT_t2,BLS_t2,ADW_t2,xG_t2,xA_t2,GI_t2,XGI_t2,Lig_Donusturulmus_Bundesliga_t2,Lig_Donusturulmus_CONMEBOL Libertadores_t2,Lig_Donusturulmus_CONMEBOL Sudamericana_t2,Lig_Donusturulmus_Championship_t2,Lig_Donusturulmus_Eredivisie_t2,Lig_Donusturulmus_FIFA Club World Cup_t2,Lig_Donusturulmus_LaLiga_t2,Lig_Donusturulmus_Ligue 1_t2,Lig_Donusturulmus_Other_Domestic_t2,Lig_Donusturulmus_Other_International_t2,Lig_Donusturulmus_Premier League_t2,Lig_Donusturulmus_Serie A_t2,Lig_Donusturulmus_UEFA Champions League_t2,Lig_Donusturulmus_UEFA Conference League_t2,Lig_Donusturulmus_UEFA Europa League_t2,Lig_Donusturulmus_UEFA Super Cup_t2,Kategori_Domestic leagues_t2,Kategori_International competitions_t2,Mevki_D_t2,Mevki_F_t2,Mevki_OS_t2,Bonservis_t2,Sezon_t2,Yaş_t3,MP_t3,DK_t3,GLS_t3,AST_t3,ASR_t3,TOS_t3,SOT_t3,BCM_t3,KEYP_t3,BCC_t3,SDR_t3,APS_t3,APS%_t3,ALB_t3,LBA%_t3,ACR_t3,CA%_t3,CLS_t3,YC_t3,RC_t3,ELTG_t3,DRP_t3,TACK_t3,INT_t3,BLS_t3,ADW_t3,xG_t3,xA_t3,GI_t3,XGI_t3,Lig_Donusturulmus_Bundesliga_t3,Lig_Donusturulmus_CONMEBOL Libertadores_t3,Lig_Donusturulmus_CONMEBOL Sudamericana_t3,Lig_Donusturulmus_Championship_t3,Lig_Donusturulmus_Eredivisie_t3,Lig_Donusturulmus_FIFA Club World Cup_t3,Lig_Donusturulmus_LaLiga_t3,Lig_Donusturulmus_Ligue 1_t3,Lig_Donusturulmus_Other_Domestic_t3,Lig_Donusturulmus_Other_International_t3,Lig_Donusturulmus_Premier League_t3,Lig_Donusturulmus_Serie A_t3,Lig_Donusturulmus_UEFA Champions League_t3,Lig_Donusturulmus_UEFA Conference League_t3,Lig_Donusturulmus_UEFA Europa League_t3,Lig_Donusturulmus_UEFA Super Cup_t3,Kategori_Domestic leagues_t3,Kategori_International competitions_t3,Mevki_D_t3,Mevki_F_t3,Mevki_OS_t3,Bonservis_t3,Sezon_t3,Yaş_t4,MP_t4,DK_t4,GLS_t4,AST_t4,ASR_t4,TOS_t4,SOT_t4,BCM_t4,KEYP_t4,BCC_t4,SDR_t4,APS_t4,APS%_t4,ALB_t4,LBA%_t4,ACR_t4,CA%_t4,CLS_t4,YC_t4,RC_t4,ELTG_t4,DRP_t4,TACK_t4,INT_t4,BLS_t4,ADW_t4,xG_t4,xA_t4,GI_t4,XGI_t4,Lig_Donusturulmus_Bundesliga_t4,Lig_Donusturulmus_CONMEBOL Libertadores_t4,Lig_Donusturulmus_CONMEBOL Sudamericana_t4,Lig_Donusturulmus_Championship_t4,Lig_Donusturulmus_Eredivisie_t4,Lig_Donusturulmus_FIFA Club World Cup_t4,Lig_Donusturulmus_LaLiga_t4,Lig_Donusturulmus_Ligue 1_t4,Lig_Donusturulmus_Other_Domestic_t4,Lig_Donusturulmus_Other_International_t4,Lig_Donusturulmus_Premier League_t4,Lig_Donusturulmus_Serie A_t4,Lig_Donusturulmus_UEFA Champions League_t4,Lig_Donusturulmus_UEFA Conference League_t4,Lig_Donusturulmus_UEFA Europa League_t4,Lig_Donusturulmus_UEFA Super Cup_t4,Kategori_Domestic leagues_t4,Kategori_International competitions_t4,Mevki_D_t4,Mevki_F_t4,Mevki_OS_t4,Bonservis_t4,Sezon_t4,Yaş_t5,MP_t5,DK_t5,GLS_t5,AST_t5,ASR_t5,TOS_t5,SOT_t5,BCM_t5,KEYP_t5,BCC_t5,SDR_t5,APS_t5,APS%_t5,ALB_t5,LBA%_t5,ACR_t5,CA%_t5,CLS_t5,YC_t5,RC_t5,ELTG_t5,DRP_t5,TACK_t5,INT_t5,BLS_t5,ADW_t5,xG_t5,xA_t5,GI_t5,XGI_t5,Lig_Donusturulmus_Bundesliga_t5,Lig_Donusturulmus_CONMEBOL Libertadores_t5,Lig_Donusturulmus_CONMEBOL Sudamericana_t5,Lig_Donusturulmus_Championship_t5,Lig_Donusturulmus_Eredivisie_t5,Lig_Donusturulmus_FIFA Club World Cup_t5,Lig_Donusturulmus_LaLiga_t5,Lig_Donusturulmus_Ligue 1_t5,Lig_Donusturulmus_Other_Domestic_t5,Lig_Donusturulmus_Other_International_t5,Lig_Donusturulmus_Premier League_t5,Lig_Donusturulmus_Serie A_t5,Lig_Donusturulmus_UEFA Champions League_t5,Lig_Donusturulmus_UEFA Conference League_t5,Lig_Donusturulmus_UEFA Europa League_t5,Lig_Donusturulmus_UEFA Super Cup_t5,Kategori_Domestic leagues_t5,Kategori_International competitions_t5,Mevki_D_t5,Mevki_F_t5,Mevki_OS_t5,Sezon_t5,target
0,2019,26,37,3315,2,4,6.82,28.0,7.0,0,41,3,12,1067.0,77.5,115.0,41.7,31.0,25.6,11,1,0,3,18,38,70,10.0,40.0,0.77,0.7,6.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12000000.0,2015,27,26,2117,0,2,6.51,11.0,2.0,1,17,4,9,572.0,75.5,57.0,39.0,17.0,17.5,4,3,1,1,15,21,25,4.0,36.0,0.77,0.7,2.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12000000.0,2016,28,36,3071,1,7,6.86,21.0,6.0,0,35,5,5,1002.0,77.1,98.0,40.3,35.0,17.9,10,7,0,0,11,34,44,6.0,57.0,0.77,0.7,8.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12000000.0,2017,29,20,1590,0,1,6.81,11.0,0.0,0,17,1,6,661.0,81.4,29.0,39.2,16.0,21.3,1,1,0,0,12,29,23,3.0,25.0,0.77,0.7,1.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8000000.0,2018,30,31,2730,3,0,6.71,17.0,5.0,1,26,4,11,933.0,74.6,67.0,35.1,26.0,20.5,5,7,0,0,23,43,35,3.0,45.0,0.77,0.7,3.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2019,6500000.0
0,2020,27,26,2117,0,2,6.51,11.0,2.0,1,17,4,9,572.0,75.5,57.0,39.0,17.0,17.5,4,3,1,1,15,21,25,4.0,36.0,0.77,0.7,2.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12000000.0,2016,28,36,3071,1,7,6.86,21.0,6.0,0,35,5,5,1002.0,77.1,98.0,40.3,35.0,17.9,10,7,0,0,11,34,44,6.0,57.0,0.77,0.7,8.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12000000.0,2017,29,20,1590,0,1,6.81,11.0,0.0,0,17,1,6,661.0,81.4,29.0,39.2,16.0,21.3,1,1,0,0,12,29,23,3.0,25.0,0.77,0.7,1.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8000000.0,2018,30,31,2730,3,0,6.71,17.0,5.0,1,26,4,11,933.0,74.6,67.0,35.1,26.0,20.5,5,7,0,0,23,43,35,3.0,45.0,0.77,0.7,3.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6500000.0,2019,31,36,3172,0,8,7.1,19.0,4.0,0,60,12,4,1303.0,78.9,119.0,41.6,59.0,28.5,11,3,0,0,14,32,32,3.0,35.0,0.77,0.7,8.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2020,5000000.0
0,2021,28,36,3071,1,7,6.86,21.0,6.0,0,35,5,5,1002.0,77.1,98.0,40.3,35.0,17.9,10,7,0,0,11,34,44,6.0,57.0,0.77,0.7,8.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12000000.0,2017,29,20,1590,0,1,6.81,11.0,0.0,0,17,1,6,661.0,81.4,29.0,39.2,16.0,21.3,1,1,0,0,12,29,23,3.0,25.0,0.77,0.7,1.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8000000.0,2018,30,31,2730,3,0,6.71,17.0,5.0,1,26,4,11,933.0,74.6,67.0,35.1,26.0,20.5,5,7,0,0,23,43,35,3.0,45.0,0.77,0.7,3.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6500000.0,2019,31,36,3172,0,8,7.1,19.0,4.0,0,60,12,4,1303.0,78.9,119.0,41.6,59.0,28.5,11,3,0,0,14,32,32,3.0,35.0,0.77,0.7,8.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5000000.0,2020,32,31,2728,2,3,7.01,18.0,4.0,0,31,5,8,1412.0,82.6,81.0,38.6,34.0,23.4,7,3,0,0,12,28,35,7.0,32.0,0.77,0.7,5.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2021,2500000.0
0,2021,29,20,1590,0,1,6.81,11.0,0.0,0,17,1,6,661.0,81.4,29.0,39.2,16.0,21.3,1,1,0,0,12,29,23,3.0,25.0,0.77,0.7,1.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8000000.0,2018,30,31,2730,3,0,6.71,17.0,5.0,1,26,4,11,933.0,74.6,67.0,35.1,26.0,20.5,5,7,0,0,23,43,35,3.0,45.0,0.77,0.7,3.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6500000.0,2019,31,36,3172,0,8,7.1,19.0,4.0,0,60,12,4,1303.0,78.9,119.0,41.6,59.0,28.5,11,3,0,0,14,32,32,3.0,35.0,0.77,0.7,8.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5000000.0,2020,32,31,2728,2,3,7.01,18.0,4.0,0,31,5,8,1412.0,82.6,81.0,38.6,34.0,23.4,7,3,0,0,12,28,35,7.0,32.0,0.77,0.7,5.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2500000.0,2021,32,9,704,0,3,6.57,2.0,0.0,0,15,2,0,395.0,84.4,21.0,41.2,17.0,28.8,3,1,2,0,5,6,8,0.0,5.0,0.19,0.22,3.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2021,2500000.0
0,2022,30,31,2730,3,0,6.71,17.0,5.0,1,26,4,11,933.0,74.6,67.0,35.1,26.0,20.5,5,7,0,0,23,43,35,3.0,45.0,0.77,0.7,3.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6500000.0,2019,31,36,3172,0,8,7.1,19.0,4.0,0,60,12,4,1303.0,78.9,119.0,41.6,59.0,28.5,11,3,0,0,14,32,32,3.0,35.0,0.77,0.7,8.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5000000.0,2020,32,31,2728,2,3,7.01,18.0,4.0,0,31,5,8,1412.0,82.6,81.0,38.6,34.0,23.4,7,3,0,0,12,28,35,7.0,32.0,0.77,0.7,5.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2500000.0,2021,32,9,704,0,3,6.57,2.0,0.0,0,15,2,0,395.0,84.4,21.0,41.2,17.0,28.8,3,1,2,0,5,6,8,0.0,5.0,0.19,0.22,3.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2500000.0,2021,33,28,2241,0,1,6.88,9.0,1.0,0,40,4,2,912.0,81.5,64.0,50.4,42.0,31.6,5,3,0,0,19,21,27,6.0,28.0,0.35,2.85,1.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2022,1200000.0
0,2022,31,36,3172,0,8,7.1,19.0,4.0,0,60,12,4,1303.0,78.9,119.0,41.6,59.0,28.5,11,3,0,0,14,32,32,3.0,35.0,0.77,0.7,8.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5000000.0,2020,32,31,2728,2,3,7.01,18.0,4.0,0,31,5,8,1412.0,82.6,81.0,38.6,34.0,23.4,7,3,0,0,12,28,35,7.0,32.0,0.77,0.7,5.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2500000.0,2021,32,9,704,0,3,6.57,2.0,0.0,0,15,2,0,395.0,84.4,21.0,41.2,17.0,28.8,3,1,2,0,5,6,8,0.0,5.0,0.19,0.22,3.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2500000.0,2021,33,28,2241,0,1,6.88,9.0,1.0,0,40,4,2,912.0,81.5,64.0,50.4,42.0,31.6,5,3,0,0,19,21,27,6.0,28.0,0.35,2.85,1.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1200000.0,2022,33,8,604,0,2,6.98,1.0,0.0,0,7,2,2,379.0,91.1,16.0,53.3,7.0,41.2,3,2,0,0,2,6,9,0.0,2.0,0.03,0.57,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2022,1200000.0
0,2023,32,31,2728,2,3,7.01,18.0,4.0,0,31,5,8,1412.0,82.6,81.0,38.6,34.0,23.4,7,3,0,0,12,28,35,7.0,32.0,0.77,0.7,5.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2500000.0,2021,32,9,704,0,3,6.57,2.0,0.0,0,15,2,0,395.0,84.4,21.0,41.2,17.0,28.8,3,1,2,0,5,6,8,0.0,5.0,0.19,0.22,3.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2500000.0,2021,33,28,2241,0,1,6.88,9.0,1.0,0,40,4,2,912.0,81.5,64.0,50.4,42.0,31.6,5,3,0,0,19,21,27,6.0,28.0,0.35,2.85,1.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1200000.0,2022,33,8,604,0,2,6.98,1.0,0.0,0,7,2,2,379.0,91.1,16.0,53.3,7.0,41.2,3,2,0,0,2,6,9,0.0,2.0,0.03,0.57,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1200000.0,2022,34,11,453,0,0,6.58,10.0,3.0,0,5,1,0,206.0,83.4,14.0,41.2,4.0,36.4,0,1,0,0,1,3,3,2.0,6.0,0.77,0.34,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2023,900000.0
0,2023,32,9,704,0,3,6.57,2.0,0.0,0,15,2,0,395.0,84.4,21.0,41.2,17.0,28.8,3,1,2,0,5,6,8,0.0,5.0,0.19,0.22,3.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2500000.0,2021,33,28,2241,0,1,6.88,9.0,1.0,0,40,4,2,912.0,81.5,64.0,50.4,42.0,31.6,5,3,0,0,19,21,27,6.0,28.0,0.35,2.85,1.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1200000.0,2022,33,8,604,0,2,6.98,1.0,0.0,0,7,2,2,379.0,91.1,16.0,53.3,7.0,41.2,3,2,0,0,2,6,9,0.0,2.0,0.03,0.57,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1200000.0,2022,34,11,453,0,0,6.58,10.0,3.0,0,5,1,0,206.0,83.4,14.0,41.2,4.0,36.4,0,1,0,0,1,3,3,2.0,6.0,0.77,0.34,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,900000.0,2023,34,6,416,1,0,6.77,1.0,1.0,0,2,0,0,201.0,85.9,7.0,43.8,3.0,25.0,1,1,0,0,1,4,2,0.0,6.0,0.13,0.44,1.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2023,900000.0
0,2024,33,28,2241,0,1,6.88,9.0,1.0,0,40,4,2,912.0,81.5,64.0,50.4,42.0,31.6,5,3,0,0,19,21,27,6.0,28.0,0.35,2.85,1.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1200000.0,2022,33,8,604,0,2,6.98,1.0,0.0,0,7,2,2,379.0,91.1,16.0,53.3,7.0,41.2,3,2,0,0,2,6,9,0.0,2.0,0.03,0.57,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1200000.0,2022,34,11,453,0,0,6.58,10.0,3.0,0,5,1,0,206.0,83.4,14.0,41.2,4.0,36.4,0,1,0,0,1,3,3,2.0,6.0,0.77,0.34,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,900000.0,2023,34,6,416,1,0,6.77,1.0,1.0,0,2,0,0,201.0,85.9,7.0,43.8,3.0,25.0,1,1,0,0,1,4,2,0.0,6.0,0.13,0.44,1.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,900000.0,2023,35,18,847,0,0,6.91,5.0,0.0,0,9,2,1,451.0,86.6,43.0,53.8,10.0,27.8,3,3,0,0,2,11,8,1.0,7.0,0.23,1.9,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2024,500000.0
1,2020,20,7,628,0,0,7.37,10.0,3.0,0,3,0,13,148.0,72.9,5.0,17.9,4.0,20.0,2,1,0,0,4,29,15,2.0,9.0,0.77,0.7,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5000000.0,2017,21,35,3135,0,3,7.03,9.0,0.0,0,14,4,61,851.0,73.0,34.0,22.7,12.0,21.4,12,4,1,0,10,129,84,5.0,43.0,0.77,0.7,3.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40000000.0,2018,22,35,3072,0,4,7.08,7.0,1.0,2,25,4,54,1341.0,81.3,33.0,33.0,14.0,13.6,11,8,0,0,22,129,66,2.0,24.0,0.77,0.7,4.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40000000.0,2019,22,5,447,0,0,7.18,3.0,1.0,0,6,0,3,182.0,85.0,2.0,25.0,2.0,13.3,3,0,0,0,3,15,10,1.0,3.0,0.19,0.22,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,40000000.0,2019,23,34,3060,2,4,7.14,7.0,4.0,0,31,2,34,1532.0,84.9,27.0,37.0,13.0,21.7,13,3,0,0,13,88,62,1.0,38.0,0.77,0.7,6.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2020,40000000.0
